id,title,year,price_eur
10292064894005717421,"Look Homeward, Angel",2010,72.71
13029911509625386835,The Yellow Meads of Asphodel,2018,26.66
12880574241579659568,A Catskill Eagle,2011,5.99
13301315742612799364,Der Richter und sein Henker,1995,62.5
16372759776603821045,After Many a Summer Dies the Swan,2004,43.33
16225690258143553542,The Man Within,1987,34.17
17182418688626898269,Beneath the Bleeding,2011,61.67
13929027836014349128,I Sing the Body Electric,2021,20.83
16585510535930664101,The Way of All Flesh,1997,56.0
13181671723636993719,Stranger in a Strange Land,1994,8.0
13852007031553183009,This Lime Tree Bower,2004,23.5
13563966805384762438,No Longer at Ease,2024,15.62
17404634738175862724,Der Steppenwolf,1992,58.5
10716476759139124664,Die Leute von Seldwyla,2007,46.25
12794965145964796855,Oh! To be in England,2022,31.25
12492825252048051597,The Millstone,2005,51.04
13637783254236226584,"Those Barren Leaves, Thrones, Dominations",2020,38.75
9349913224289094077,From Here to Eternity,2006,51.46
12606497971576282884,The Moon by Night,2009,29.58
13654750680079674345,La Promise du voyeur,2020,50.83
12312644116220842534,A Passage to India,1990,47.08
17983250410384178881,Terrible Swift Sword,2002,39.17
10710862295239027728,The Stars' Tennis Balls,2010,54.25
13292781543423722710,No Country for Old Men,2025,63.33
10047495841515591262,A Handful of Dust,1883,74.38
15326982948576617365,Far From the Madding Crowd,2013,62.08
12025326889183330247,"Those Barren Leaves, Thrones, Dominations",2021,70.21
15451588964720613556,No Longer at Ease,1988,54.58
16548379254424216862,East of Eden,2008,8.96
14254845539342201717,Surprised by Joy,2005,77.08
10643842702585877042,I Sing the Body Electric,2001,59.75
18290084051695947405,Beyond the Mexique Bay,2019,38.12
17488879353168625345,As I Lay Dying,1986,7.71
17647942934076930522,I Will Fear No Evil,1986,28.75
16398823465215646785,Great Work of Time,2016,74.17
9973953023030722881,The Monkey's Raincoat,1988,31.67
12007179089513490097,Specimen Days,2012,11.88
17600438743685889890,A Confederacy of Dunces,2002,76.25
17824393246219332685,"Such, Such Were the Joys",2024,4.99
14903584408813759027,Dulce et Decorum Est,1992,27.29
13397425801304217829,The Heart Is a Lonely Hunter,2016,49.75
11246065008964176088,A Darkling Plain,2026,13.33
15095502018856511707,"If Not Now, When?",2002,78.5
14500525285302982819,Jesting Pilate,1993,61.5
10966605713926860808,L'Odeur du sanglier,2008,58.99
9646289334503064992,The Wives of Bath,2025,6.99
17515717022538911793,Down to a Sunless Sea,1994,78.75
14884968742444181596,A Passage to India,1997,48.33
16092502944420618497,The Little Foxes,2011,64.38
9792994077266653655,A Darkling Plain,1987,12.5
14570024932947583871,Paths of Glory,1998,49.99
17814215470429239755,The Golden Apples of the Sun,2018,60.0
14106891543489108830,Edna O'Brien,2003,35.99
12573658636363247854,Italienische Reise,2008,36.46
12345530181623524698,La progéniture du mal,1987,60.62
9825834704236503274,Cover Her Face,1994,60.42
13350287856699023066,The Curious Incident of the Dog in the Night-Time,1991,16.25
10419886784590257725,Noli Me Tangere,2004,30.0
10964260573802701738,No Country for Old Men,1998,19.79
13210820491567321065,Of Human Bondage,2010,58.75
11144571853674803248,Ring of Bright Water,2006,14.58
12763066866732415026,Cabbages and Kings,1990,6.67
13535851547148134674,The Last Enemy,2015,35.83
10099122261584975451,All Passion Spent,2001,62.5
14113241720275422170,I Know Why the Caged Bird Sings,2016,68.12
14308584155528273383,The Heart Is a Lonely Hunter,2021,57.92
16230063382506733535,The Last Temptation,2001,23.0
11069069167989745865,No Highway,2020,68.33
10380960236120104421,Now Sleeps the Crimson Petal,1990,39.0
17132400248688720458,Blood's a Rover,2026,49.99
14405831585941708487,A Time to Kill,2004,20.83
17439143591966621465,That Hideous Strength,1998,53.96
14041876235404597561,Postern of Fate,1996,66.0
17155730388432959486,In Dubious Battle,1987,24.0
15782330596326844868,Tirra Lirra by the River,2001,62.92
9517564751126302297,O Pioneers!,1994,65.83
15036746547462588049,Everything is Illuminated,2025,27.5
18005326474561131589,Mr Standfast,1993,8.99
15109424035262848616,The Millstone,2007,27.75
17966565328015026781,The Millstone,2019,33.96
9989124347290385236,The Moving Toyshop,2005,47.5
14974923427389652091,The Curious Incident of the Dog in the Night-Time,2014,26.04
12833796391638257024,A Handful of Dust,1938,41.0
12820538942010404126,The Wives of Bath,2025,42.5
10207123027367900190,To Say Nothing of the Dog,1991,39.17
13696464452089293473,Die Aufzeichnungen des Malte Laurids Brigge,1904,20.62
16969235554485724466,Taming a Sea Horse,1998,60.83
12683525105069568453,The Daffodil Sky,2009,19.38
13725408923250100139,His Dark Materials,2017,56.04
16427321661486076624,"Absalom, Absalom!",2014,24.99
11705640022632668905,Edna O'Brien,2002,45.75
16718684923237587741,Consider the Lilies,1989,13.75
13840616823199181908,Nine Coaches Waiting,1994,54.0
17558852521992159180,East of Eden,2026,20.0
15319323905005868520,Consider the Lilies,2008,48.96
13308372537495171802,Dance Dance Dance,2020,13.0
13448916561863226760,For Whom the Bell Tolls,2013,60.62
11123992738600420371,The Last Temptation,1883,67.99
12077491670575036893,The House of Mirth,2011,48.75
17171849882162147144,To a God Unknown,2024,48.12
15082913101877945433,Where Angels Fear to Tread,2014,75.83
13950517975969754449,Recalled to Life,1989,72.08
10009483668538145622,A Summer Bird-Cage,2004,74.75
11209308176098388114,Nine Coaches Waiting,1998,45.83
9393211439060440182,In Death Ground,1958,27.08
